probe_id,timestamp,readable_time,selected_ip,in_dns_set,avg_rtt
52235,1759844648,2025-10-07 15:44:08,142.251.116.190,1,12.639808400000003
52645,1759844657,2025-10-07 15:44:17,142.250.191.110,1,23.8224458
52969,1759844680,2025-10-07 15:44:40,142.250.200.110,1,8.849916799999999
53309,1759844665,2025-10-07 15:44:25,216.58.206.46,1,5.5596668000000005
54268,1759844682,2025-10-07 15:44:42,142.250.80.46,1,5.2299083
54374,1759844659,2025-10-07 15:44:19,216.58.207.206,1,42.5778332
54627,1759844655,2025-10-07 15:44:15,209.85.233.198,1,42.6506252
54647,1759844686,2025-10-07 15:44:46,216.58.204.142,1,18.7571459
54670,1759844659,2025-10-07 15:44:19,142.250.203.206,1,7.493995700000001
54949,1759844684,2025-10-07 15:44:44,142.250.185.174,0,22.158812400000002
54969,1759844683,2025-10-07 15:44:43,142.250.186.142,1,7.9327292
55012,1759844678,2025-10-07 15:44:38,142.250.186.110,1,16.1934419
55290,1759844684,2025-10-07 15:44:44,142.250.178.142,1,7.405187499999999
55330,1759844656,2025-10-07 15:44:16,142.250.217.142,1,8.518945699999998
55515,1759844661,2025-10-07 15:44:21,172.217.167.110,1,13.5708584
55584,1759844683,2025-10-07 15:44:43,64.233.165.198,1,78.37511659999998
55761,1759844687,2025-10-07 15:44:47,142.251.167.93,1,5.372741500000001
55859,1759844657,2025-10-07 15:44:17,142.250.186.206,1,4.5263748999999995
60105,1759844681,2025-10-07 15:44:41,142.251.32.78,1,16.543311099999997
60135,1759844686,2025-10-07 15:44:46,142.250.184.14,1,33.5884279
60254,1759844680,2025-10-07 15:44:40,142.250.80.78,1,9.2453543
60339,1759844686,2025-10-07 15:44:46,142.250.140.91,1,14.156618899999998
60433,1759844649,2025-10-07 15:44:09,172.217.194.91,1,41.258035799999995
60525,1759844656,2025-10-07 15:44:16,192.178.54.46,1,158.21953720000002
60689,1759844658,2025-10-07 15:44:18,142.250.68.46,1,145.1901365
60958,1759844660,2025-10-07 15:44:20,142.250.68.46,1,3.540983899999999
61181,1759844655,2025-10-07 15:44:15,172.217.16.14,1,10.999232000000003
61364,1759844674,2025-10-07 15:44:34,142.250.140.93,1,11.0682379
61448,1759844653,2025-10-07 15:44:13,108.177.15.91,1,15.054658
61476,1759844660,2025-10-07 15:44:20,142.250.184.174,1,27.773610299999994
61747,1759844678,2025-10-07 15:44:38,142.251.47.238,1,10.1198446
61915,1759844683,2025-10-07 15:44:43,142.250.69.174,1,7.1904321
62093,1759844649,2025-10-07 15:44:09,172.217.20.206,1,9.0683321
62174,1759844659,2025-10-07 15:44:19,142.250.129.93,1,7.941203
62602,1759844684,2025-10-07 15:44:44,142.250.180.206,1,3.2509727999999996
62732,1759844649,2025-10-07 15:44:09,216.58.206.78,1,14.568752499999999
62832,1759844686,2025-10-07 15:44:46,172.217.24.46,1,5.723552500000001
62917,1759844659,2025-10-07 15:44:19,142.250.198.174,1,61.4187679
62939,1759844678,2025-10-07 15:44:38,142.250.178.174,1,14.3663138
63046,1759844655,2025-10-07 15:44:15,142.250.186.78,1,45.3975601
6372,1759844699,2025-10-07 15:44:59,216.58.206.46,1,33.1225858
64089,1759844684,2025-10-07 15:44:44,216.58.212.174,1,22.613246299999997
64609,1759844683,2025-10-07 15:44:43,142.250.179.110,1,131.15992669999997
64786,1759844677,2025-10-07 15:44:37,142.250.189.142,1,157.1591948
65132,1759844676,2025-10-07 15:44:36,142.250.74.14,1,76.44393149999999
65369,1759844678,2025-10-07 15:44:38,172.217.24.174,1,73.45861400000001
65505,1759844662,2025-10-07 15:44:22,216.58.215.78,1,85.7990738
65507,1759844662,2025-10-07 15:44:22,142.250.74.110,1,12.9597693
65581,1759844653,2025-10-07 15:44:13,142.250.185.14,1,12.4933844
65779,1759844655,2025-10-07 15:44:15,142.251.9.136,1,26.703174699999998
7520,1759844697,2025-10-07 15:44:57,192.178.54.46,1,17.895082300000002
1003842,1759844702,2025-10-07 15:45:02,172.217.168.46,1,8.738627
1005046,1759844704,2025-10-07 15:45:04,172.217.16.174,1,33.4109934
1007642,1759844704,2025-10-07 15:45:04,216.58.213.78,1,9.151302
1009611,1759844700,2025-10-07 15:45:00,172.217.16.142,1,2.2949149999999996
1010732,1759844700,2025-10-07 15:45:00,142.251.221.110,1,24.504733199999997
1011229,1759844704,2025-10-07 15:45:04,142.250.197.110,1,34.2674421
1012349,1759844702,2025-10-07 15:45:02,142.250.198.238,1,1.1544657
6492,1759844700,2025-10-07 15:45:00,142.250.72.142,1,0.8530952
7249,1759844703,2025-10-07 15:45:03,142.250.203.206,1,2.6902447
7548,1759844776,2025-10-07 15:46:16,142.250.67.14,1,26.8409574
1002570,1759845020,2025-10-07 15:50:20,142.250.185.206,1,5.379605500000001
1003136,1759845032,2025-10-07 15:50:32,209.85.203.93,1,51.177101199999996
1003139,1759845027,2025-10-07 15:50:27,142.251.10.91,1,42.6994463
